dataset_id,title,formats_available,has_supported_format,sized_format,file_count,size_bytes,size_mb,errors
041f1e6e-bdbc-4091-b48f-8a5990f3cc5b,Administrative enheter kommuner,FGDB;GEOJSON;GML;POSTGIS;SOSI,True,GEOJSON,1055,109880723,104.79,
30e1883e-70e9-4510-9e97-00edbdcddc02,Aktsomhetskart for jord- og flomskred,FGDB;GML;POSTGIS;SOSI,True,FGDB,679,1559424587,1487.18,
dabd2a2c-36d5-4ed7-a4c9-d49808a2b848,Aktsomhetskart for kvikkleireskred,FGDB;GML;POSTGIS;SOSI,True,FGDB,681,414818025,395.60,
54ada9d8-e6fc-48d6-82b0-5477166a4aaa,Aktsomhetskart for snøskred,FGDB;GML;POSTGIS;SOSI,True,FGDB,681,2430261027,2317.68,
4ca8af5e-ffc7-4636-847d-4eca92c4a3b0,Akvakultur - lokaliteter,FGDB;GML;SOSI,True,FGDB,506,31828499,30.35,
d6a20e09-fa68-4d57-ab43-c22e755ff60a,Ankringsområder,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,150263,0.14,
45e69e05-d17f-42fd-8f01-43751b671853,Antarktis,AI;EMF;JPEG;PPTX,False,AI,1,1821819,1.74,
e0ada454-7a5e-4b2f-840e-42ddfec21f79,Arbeidsgiveravgiftsoner,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,1833756,1.75,
4fb7e181-4169-4ff5-a2d7-873681563062,Arealstatistikk for Norge,XLSX,False,XLSX,1,2841419,2.71,
851bfa1c-c48a-42a2-83c6-11a4662b6d1d,Artsmangfold - Videoobserverte korallbunntyper,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,1162006,1.11,
0d1bf03d-f3fa-4ba5-bbff-52543f3d066d,Artsmangfold – Svampobservasjoner per videotransekt,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,291002,0.28,
ffb4ad9b-64d4-4387-a01a-1a8137f9dc84,Artsmangfold – Videoobservasjoner,FGDB;GML;POSTGIS;SOSI,True,FGDB,1,308478,0.29,
ff76986a-4f8f-42fb-b68d-0e1275460c14,B0 Stedsnavn (Bouvetøya),SOSI,False,SOSI,1,3362,0.00,
687232b8-a662-4c68-8868-005034c30649,B20 Kartdata (Bouvetøya),SOSI,False,SOSI,1,71562,0.07,
c3da3591-cded-4584-a4b1-bc61b7d1f4f2,Banenettverk,FGDB;GML;POSTGIS;SOSI,True,FGDB,302,30813744,29.39,
d80faca7-2a0d-47de-b58b-5007a2afdc74,Barmarksløyper,FGDB;GML;SOSI,True,FGDB,23,1186473,1.13,
e229a364-0caa-4a24-8dbe-225b3d83e075,Barnehager,FGDB;GML;SOSI,True,FGDB,671,23273305,22.20,
b3c319bd-910d-4663-8ce8-23a246afe879,Bergrettigheter,FGDB;GEOJSON;GML;POSTGIS;SOSI,True,GEOJSON,413,6800464,6.49,
0cfe0ce1-603a-4692-a3c3-5f6427f63a19,Bouvetøya DTM 20,TIFF,False,TIFF,1,142505,0.14,
c4436a5f-1e22-461a-8209-786f7052acb5,Brannalarmsentraler,FGDB;GML;POSTGIS;SOSI,True,FGDB,3,3770977,3.60,
0ccce81d-a72e-46ca-8bd9-57b362376485,Brannstasjoner,FGDB;GML;POSTGIS;SOSI,True,FGDB,29,991111,0.95,
7893680e-183b-4f22-9d43-876d51764675,Byggeforbudssoner kraftledninger,FGDB;GML;POSTGIS;SOSI,True,FGDB,437,34557428,32.96,
